x=474, y=1887..1892
x=593, y=1376..1390
x=522, y=1458..1464
x=511, y=1533..1539
y=416, x=434..449
y=235, x=519..531
x=522, y=94..96
x=609, y=938..939
x=628, y=204..206
y=1663, x=597..601
x=438, y=525..527
x=572, y=206..219
x=594, y=1694..1713
x=569, y=48..75
y=160, x=656..669
x=588, y=1404..1408
y=529, x=658..676
x=436, y=1363..1381
x=610, y=1266..1287
x=689, y=1454..1462
x=613, y=1265..1287
x=665, y=892..906
x=603, y=1526..1535
x=595, y=1526..1535
y=611, x=447..449
x=590, y=1796..1818
y=906, x=665..679
y=1235, x=439..454
x=500, y=926..937
y=651, x=516..535
x=570, y=1132..1137
x=621, y=29..37
x=555, y=1318..1325
x=424, y=271..282
y=1636, x=642..655
y=1687, x=548..551
y=519, x=495..514
x=525, y=134..147
x=514, y=395..406
y=412, x=577..581
y=191, x=617..622
x=517, y=1248..1268
x=485, y=276..279
y=1404, x=588..591
x=551, y=1166..1177
y=588, x=492..522
x=633, y=350..363
x=567, y=756..759
x=583, y=789..798
x=522, y=839..849
x=583, y=1527..1534
y=900, x=596..605
x=669, y=236..243
y=138, x=449..451
x=493, y=461..470
x=551, y=820..831
x=636, y=1863..1878
x=564, y=183..201
x=519, y=1211..1213
x=610, y=863..885
y=1161, x=548..574
x=524, y=617..624
x=678, y=1263..1280
y=1154, x=560..563
x=567, y=1394..1396
x=555, y=1804..1810
x=575, y=962..973
x=516, y=640..651
x=639, y=1526..1550
y=1535, x=595..603
x=550, y=801..810
x=458, y=75..81
x=545, y=1556..1570
x=524, y=1106..1120
x=487, y=746..757
y=1763, x=425..434
x=540, y=1164..1174
y=39, x=491..495
x=591, y=1300..1313
x=501, y=1524..1533
y=840, x=565..570
y=243, x=475..499
x=523, y=1589..1594
x=465, y=382..395
x=452, y=341..366
x=488, y=1120..1136
y=1012, x=501..506
y=469, x=436..440
x=481, y=1083..1103
x=570, y=488..496
y=608, x=522..524
y=1803, x=470..473
x=487, y=1488..1494
x=449, y=998..1005
x=603, y=781..800
y=826, x=537..539
x=477, y=1644..1668
y=1814, x=629..636
y=1781, x=519..537
y=1462, x=677..689
x=660, y=825..830
y=631, x=634..658
x=443, y=1534..1540
x=585, y=633..648
y=1094, x=578..580
y=1788, x=496..516
x=459, y=971..982
y=1095, x=442..456
x=531, y=599..612
y=1578, x=589..591
x=676, y=374..392
y=837, x=503..507
x=663, y=1422..1440
y=860, x=554..572
x=488, y=1246..1258
x=442, y=207..224
x=611, y=1803..1817
y=1833, x=644..650
x=495, y=530..543
x=682, y=1574..1589
y=211, x=496..512
x=684, y=1722..1729
y=250, x=523..532
x=444, y=1585..1599
x=560, y=1571..1584
y=1533, x=490..501
y=1720, x=571..591
y=726, x=589..608
x=512, y=395..406
y=1300, x=541..562
y=895, x=585..588
x=523, y=197..220
y=334, x=458..473
y=505, x=441..445
y=198, x=571..574
x=690, y=1423..1440
x=610, y=1529..1538
x=692, y=207..212
x=465, y=856..858
